Ziemia - Bisekcja, 
x,y
0.5818985763206346,0.8227504639297402
0.5768252847501706,0.8262709335376706
0.5717292107046084,0.8297596865842871
0.5666105440176427,0.833216581002533
0.5614694754642597,0.8366414758424975
0.5563061967549626,0.8400342312775718
0.5511209005299528,0.8433947086105849
0.5459137803532685,0.8467227702799158
0.5406850307068826,0.85001827986558
0.5354348469847532,0.8532811020952961
0.5301634254868356,0.8565111028505256
0.5248709634130475,0.8597081491724899
0.5195576588571941,0.862872109268161
0.5142237108008478,0.8660028525162299
0.5088693191071869,0.8691002494730469
0.5034946845147885,0.8721641718785386
0.4981000086313806,0.8751944926620979
0.49268549392755023,0.8781910859484484
0.4872513437304077,0.8811538270634812
0.48179776221720894,0.884082592540066
0.476324954408933,0.886977260123835
0.47083312616381795,0.8898377087789386
