Merkury - Bisekcja, ,Wenus - Bisekcja, ,Ziemia - Bisekcja, ,Mars - Bisekcja, 
x,y,x,y,x,y,x,y
0.38642827367005184,0.057060044258842896,0.7120592223628914,0.13013834939082966,0.9868202162030411,0.17825216432612973,1.5199061978994086,0.25179040783776185
0.38653281768764436,0.05901449172407818,0.7112632887353063,0.13457455201406335,0.9858010484585465,0.18433050625879754,1.519238782505286,0.2603951853417192
0.3866268328438948,0.06096760128145546,0.7104396407722356,0.13900554694231268,0.9847441903209941,0.19040191801658599,1.5185210132171991,0.2689920686577968
0.3867103125394789,0.06291932806593498,0.7095883096843107,0.14343116257854696,0.983649679374613,0.19646617092713786,1.517752898829684,0.27758079506064265
0.386783250263562,0.06486962718613523,0.7087093277335582,0.1478512275213983,0.9825175545541813,0.20252303654750478,1.516934449248998,0.28616110186669685
0.38684563959396356,0.06681845372348826,0.7078027282323318,0.1522655705714165,0.981347856144105,0.20857228667152844,1.5160656754944757,0.2947327264357087
0.3868974741973326,0.06876576273139531,0.7068685455422078,0.15667402073731884,0.9801406257774616,0.21461369333722097,1.5151465896999186,0.3032954061722703
0.3869387478293349,0.07071150923438314,0.705906815072847,0.1610764072422343,0.9788959064350111,0.2206470288341429,1.514177205115028,0.3118488785273667
0.3869694543348513,0.07265564822726082,0.7049175732808198,0.16547255952994175,0.9776137424441731,0.22667206571077908,1.5131575361068752,0.3203928809999434
0.38698958764818764,0.07459813467427708,0.7039008576683972,0.16986230727110255,0.9762941794779695,0.23268857678191304,1.5120875981614097,0.32892715113849164
0.3869991417932967,0.07653892350841855,0.702856706782306,0.17424548036948692,0.9749372645539347,0.23869633513599883,1.51096740788501,0.33745142654265176
0.3869981108840086,0.07847796963006964,0.7017851602124497,0.17862190896819402,0.9735430460329901,0.2446951141425309,1.5097969830060696,0.34596544486483594
0.3869864891242796,0.08041522790684706,0.7006862585905939,0.18299142345586566,0.9721115736182864,0.2506846874594118,1.5085763423766239,0.3544689438118693
0.3869642708084453,0.08235065317234944,0.6995600435890159,0.18735385447289357,0.9706428983540104,0.25666482904031734,1.507305505974016,0.3629616611466518
0.3869314503214897,0.08428420022541223,0.6984065579191214,0.19170903291761945,0.9691370726241592,0.26263531314205996,1.5059844949026007,0.37144333468984
